original_id,aug_id,country_name,country_code,map_coordinates,url,region_name,region_code,Project_title,Project_description,status,stages,date,procurementMethod,budget,currency,buyer,sector,subsector
#ccf5602c1c-2e20-4773-89f3-08f921ac655f,Mathieu Court Alley Play Street,United States,USA,"{'type': 'Point', 'coordinates': [-122.344475, 37.933013]}",https://www.ci.richmond.ca.us/4486/Travel-Safe-Richmond,North America,NA,Mathieu Court Alley Play Street,"The City of Richmond proposes to construct the Richmond-Greenway Gap Closure Project, a multi-use trail connection in Richmond, California. The Richmond-Ohlone Greenway Gap Closure Project represents the third phase of the Richmond Greenway Project, which would provide a continuous bicycle and pedestrian pathway in Richmond from Garrard Boulevard and the Richmond Parkway to San Pablo Avenue. The Richmond Greenway would connect the San Francisco Bay Trail at the west with the Ohlone Greenway in the City of El Cerrito at the east. The proposed project includes installation of the new multi-use trail, a new crosswalk and traffic signal on San Pablo Avenue, and a new bridge over realigned Baxter Creek as well as associated improvements and landscaping.",Ongoing,Construction,2023-02-07,Public Tender,,USD,City of Richmond,Infrastructure,Urban Development
1,About Google Translate,Google,GOO,"{'type': 'Point', 'coordinates': [37.422, -122.084]}",https://translate.google.com/about/?hl=en-US,Tech,TEC,Google Translate,"Translate text, images, documents, and websites",active,Ongoing,2022-03-15,Online,100000.0,USD,Google,Technology,Translation
98,GIS-Specialist-55,United States,USA,"{'type': 'Point', 'coordinates': [-119.3528, 35.5941]}",https://www.cityofwasco.org/Jobs.aspx?UniqueId=98&From=All&CommunityJobs=False&JobID=GIS-Specialist-55,North America,NA,GIS Specialist,Install and maintain a variety of computer-based software and hardware including Geographical Information Systems software (GIS),Open,"Posted January 6, 2023 8:00 AM | Open Until Filled",2023-01-06,Unknown,,Unknown,City of Wasco,Technology,Information Technology
1,1,United States,USA,"{'type': 'Point', 'coordinates': [-124.16367, 40.80207]}",https://www.eurekaca.gov,,,Capital Improvement Program Report 2024,"The City of Eureka’s Five-Year Capital Improvement Program (CIP) is a multi-year planning instrument used to identify needed capital improvement projects and to coordinate the financing and timing of these improvements. The primary purpose of the CIP is to assist in the orderly implementation of the broad and comprehensive goals of the City’s adopted General Plan. The CIP also aids with planning for maintenance and replacement of the City's infrastructure by establishing an orderly basis to guide local officials in making sound budget decisions. Attention is also focused on community goals, needs, and capabilities to maximize the benefit of public expenditures.",ongoing,planning,2024-01-01,planning,250000.0,USD,City of Eureka,Infrastructure,Public Works
1,cc8bd95fde-da5f-45d7-9e90-d6e2eb24437f,United States,USA,"{'type': 'Point', 'coordinates': [-124.0828, 40.8665]}",https://www.cityofarcata.org/856/Wastewater-Treatment-Facilities-Improvem,North America,NA,Arcata Wastewater Treatment Facility Improvement Project,The City of Arcata proposes to construct upgrades to the existing Arcata Wastewater Treatment Facility to update aging infrastructure and comply with the requirements of the Regional Water Quality Control Board Order No. 1-2019-0006.,Ongoing,Phase 1,2021-07-01,Construction,54000000.0,USD,City of Arcata,Water and Sanitation,Wastewater Treatment
1,1,United States,USA,"{'type': 'Point', 'coordinates': [-124.1073, 40.9469]}",https://mckinleyvillecsd.ca.gov/,North America,NA,McKinleyville BMX Track and Park Construction,Request for Bids for the Construction of the McKinleyville BMX Track and Park Project,Open,Bids and RFPs,2024-05-23,Bids,,USD,McKinleyville Community Services District,Construction,BMX Track and Park
1,San Rafael,United States,USA,"{'type': 'Point', 'coordinates': [-122.5268, 37.9749]}",https://www.cityofsanrafael.org/,North America,NA,Planning Division,"The Planning Division provides information on land use, zoning, site development standards and processes applications for land use permits and land divisions. Most projects submitted fall into two categories, Design Review or Use Permit.",active,ongoing,2024-05-09,NA,0.0,NA,City of San Rafael,Urban Planning,Land Use and Zoning
18.52532217.1716126980.5773ca1c,18.52532217.1716126980.5773ca1c,,,,,,,,,,,,,,,,,
cc9b263b9d-a7e2-4e23-b747-b6d686e76be0,27,Mill Valley,MVL,"{'type': 'Point', 'coordinates': [37.9062, -122.5448]}",https://www.cityofmillvalley.org/,N/A,N/A,,,,,,,,,,,
1,RPU,United States,USA,"{'type': 'Point', 'coordinates': [-117.396156, 33.95335]}",https://www.riversideca.gov/media-press-release/rpu,North America,NA,Riverside Public Utilities Recognized for Excellence in Communications,Riverside Public Utilities has been recognized for excellence in communications.,closed,completed,2022-11-20,open,0.0,USD,Riverside Public Utilities,Utilities,Communications
1,1,United States,USA,"{'type': '', 'coordinates': [33.9425, -118.4081]}",https://moval.gov/cdd/simplicity-help.html,California,CA,Building and Safety Applications,"Choose this to view Digital Plan Room quick tips, video tutorials, etc",active,ongoing,2022-06-01,Open,50000.0,USD,City of Moreno Valley,Public Services,Building and Safety
18.56532217.1716127214.11678193,56532217,,,,https://errors.edgesuite.net/18.56532217.1716127214.11678193,,,,,,,,,,,,,
